user_id,start_time,end_time,mode
eicmyn,2008-05-18T01:30:00,2008-06-07T21:30:00,taxi
eifvid,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eincuf,2008-05-18T00:30:00,2008-06-06T17:00:00,taxi
eitpem,2008-05-18T00:30:00,2008-06-05T12:30:00,taxi
ejcrur,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ejesba,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ejkipu,2008-05-18T01:00:00,2008-06-07T23:30:00,taxi
ejnoax,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ejshig,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ejtobu,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ekenuc,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ekfrab,2008-05-18T03:00:00,2008-06-07T21:00:00,taxi
ektamy,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ektuyo,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ekyosj,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
elafle,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
elbnax,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
elfyea,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
elhuyo,2008-05-23T14:30:00,2008-05-29T03:00:00,taxi
ellimt,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
elswck,2008-05-18T01:00:00,2008-06-07T23:30:00,taxi
elvgid,2008-05-18T00:30:00,2008-05-21T22:30:00,taxi
elwesn,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
enarwe,2008-05-18T07:00:00,2008-06-07T23:30:00,taxi
enekbl,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
enidmo,2008-05-18T06:30:00,2008-06-07T23:30:00,taxi
enjubp,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
enkkan,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
enyene,2008-06-04T15:30:00,2008-06-07T23:30:00,taxi
enyons,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eoccoi,2008-05-18T00:30:00,2008-06-07T13:30:00,taxi
eoffri,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eoivqu,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eokrac,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
eolgug,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eoslui,2008-05-18T08:00:00,2008-06-07T23:30:00,taxi
eovsyt,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eoydba,2008-05-18T00:30:00,2008-05-30T16:30:00,taxi
epabca,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
epemva,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
epkiap,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
equioc,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
equoaw,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
erjboy,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
erjcre,2008-05-18T00:30:00,2008-06-07T22:30:00,taxi
erjtai,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
erulgh,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
erwumu,2008-05-18T01:00:00,2008-06-07T23:30:00,taxi
eryeig,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eshria,2008-05-18T00:00:00,2008-06-07T23:30:00,taxi
eshroa,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
esnddc,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
esudce,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
etalra,2008-05-18T01:30:00,2008-06-07T23:30:00,taxi
etirnf,2008-06-04T17:00:00,2008-06-07T23:30:00,taxi
etnads,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eufdod,2008-05-18T01:00:00,2008-06-07T22:30:00,taxi
evbacc,2008-05-18T04:30:00,2008-06-07T23:30:00,taxi
evdyff,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
evfler,2008-05-18T05:00:00,2008-06-07T01:00:00,taxi
evijce,2008-05-18T00:30:00,2008-06-07T21:00:00,taxi
evjoko,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
evmaja,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
evtitd,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ewbglo,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ewedkl,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ewufri,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ewvnil,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
exskaf,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eybmij,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
eybyay,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
eydadg,2008-06-05T11:30:00,2008-06-07T23:30:00,taxi
eytups,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
iacbyb,2008-05-18T07:00:00,2008-06-07T23:00:00,taxi
iackaw,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
iafbag,2008-05-19T06:30:00,2008-06-07T23:30:00,taxi
iafstn,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
iaggri,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
iagods,2008-06-05T01:30:00,2008-06-07T23:30:00,taxi
iahoro,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
iapber,2008-05-18T19:30:00,2008-06-07T23:30:00,taxi
iatmeu,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
iatojb,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
iawxbe,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ibflsr,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ibgryk,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
iblool,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ibpijd,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ibwici,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
icagpo,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
icdahe,2008-06-04T18:00:00,2008-06-07T23:30:00,taxi
icdapn,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
icdult,2008-05-23T16:00:00,2008-06-07T23:30:00,taxi
icedpa,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ichank,2008-05-18T05:00:00,2008-06-07T23:00:00,taxi
ichiki,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ickguw,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ickphi,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ickviy,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
icodmu,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ictlyp,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ictmuo,2008-05-18T00:30:00,2008-06-05T09:30:00,taxi
icwiro,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
idbayb,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
idcadg,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ideutg,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
idholv,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
idjoat,2008-06-06T17:00:00,2008-06-07T16:30:00,taxi
idjojw,2008-05-23T20:00:00,2008-06-07T23:30:00,taxi
idjokv,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
idlorr,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
idodly,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
idshyw,2008-05-18T09:00:00,2008-06-07T23:30:00,taxi
idsmuk,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
idtwal,2008-06-05T20:30:00,2008-06-07T23:30:00,taxi
idvoww,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ifanfa,2008-05-18T00:30:00,2008-06-07T16:00:00,taxi
ifefro,2008-05-18T07:30:00,2008-06-05T22:30:00,taxi
ifelas,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ifeshc,2008-05-19T15:30:00,2008-05-19T20:00:00,taxi
ifkald,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ifragc,2008-05-18T07:30:00,2008-06-07T23:30:00,taxi
igglit,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
igsoys,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
igvidt,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ijcoga,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ijdeyd,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ijhigo,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ijhipv,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ijpiaw,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ijpruk,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ijthin,2008-05-18T05:30:00,2008-06-07T23:30:00,taxi
ijtowh,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ikdagc,2008-05-18T03:30:00,2008-06-07T23:30:00,taxi
ikkimm,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
ikujfu,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ilcoby,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ilkble,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ilkedv,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ilyutj,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
imhacy,2008-05-18T00:30:00,2008-06-06T21:30:00,taxi
imnees,2008-05-18T01:00:00,2008-06-07T23:30:00,taxi
imoikc,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
imwryt,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
imwyoj,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
inckki,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
indtwr,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
indyep,2008-05-18T00:30:00,2008-06-07T22:30:00,taxi
inghog,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
inghot,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
inhial,2008-05-18T00:30:00,2008-05-30T23:00:00,taxi
inlica,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
inquay,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
inshfo,2008-05-18T07:00:00,2008-05-22T14:00:00,taxi
insodf,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ioajdi,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ioangi,2008-05-18T00:30:00,2008-06-07T03:00:00,taxi
iodjie,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
iodlac,2008-05-19T07:30:00,2008-06-07T23:30:00,taxi
iofpli,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ioivkn,2008-05-18T00:30:00,2008-06-07T19:30:00,taxi
iorjtw,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
iotklo,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
iovhar,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
iovlit,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ioytgo,2008-05-18T02:30:00,2008-06-07T23:30:00,taxi
ipdioi,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ipdraw,2008-06-05T19:30:00,2008-06-07T23:00:00,taxi
iphesp,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
iphybc,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ipjier,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ippfei,2008-05-22T18:00:00,2008-06-07T23:30:00,taxi
irjfen,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
isekdy,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
isfikt,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ishvir,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
isnthl,2008-05-18T09:30:00,2008-05-25T01:00:00,taxi
ispaww,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
isvayd,2008-05-18T00:30:00,2008-06-07T22:30:00,taxi
itacfl,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
itbadp,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
itbejs,2008-05-18T07:00:00,2008-06-07T23:30:00,taxi
itcemr,2008-05-18T00:30:00,2008-06-07T04:30:00,taxi
ithpet,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
itmeps,2008-05-18T14:30:00,2008-06-07T23:30:00,taxi
itpivo,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
itquir,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ivheoo,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ivkock,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
izowcu,2008-05-18T00:30:00,2008-06-07T16:30:00,taxi
oadwow,2008-06-06T08:30:00,2008-06-07T23:30:00,taxi
oafhyn,2008-05-18T00:30:00,2008-06-07T19:00:00,taxi
oahudf,2008-05-18T00:30:00,2008-06-07T16:00:00,taxi
oakpik,2008-05-18T00:30:00,2008-06-07T17:00:00,taxi
oapwyc,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
oasthu,2008-05-18T17:00:00,2008-06-07T23:00:00,taxi
obacva,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
obceoo,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
obheuj,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
objoyh,2008-05-18T00:30:00,2008-05-18T07:30:00,taxi
oblyag,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
obsimj,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
occeyd,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
occrok,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ochotc,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ochtin,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ocjeng,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ockiho,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ockoac,2008-05-28T14:00:00,2008-06-06T15:00:00,taxi
ockolr,2008-05-21T16:30:00,2008-06-07T23:30:00,taxi
ocshit,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ocwyit,2008-05-18T01:30:00,2008-06-07T23:30:00,taxi
odklob,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
odlorh,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
odocje,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
odolfe,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
odoywu,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
odscix,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ofikco,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ofjeeq,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ofodwo,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ogawje,2008-05-18T02:00:00,2008-06-07T03:00:00,taxi
ogdygd,2008-05-18T00:30:00,2008-06-07T02:30:00,taxi
oggluv,2008-05-18T09:30:00,2008-06-07T18:00:00,taxi
ogijtr,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ogikli,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ogjoch,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ognoww,2008-05-18T00:30:00,2008-06-07T21:30:00,taxi
ogofvo,2008-05-29T07:30:00,2008-06-07T23:30:00,taxi
ogphag,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ogshtc,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
ogurju,2008-05-18T00:30:00,2008-06-07T23:30:00,taxi
oiphye,2008-05-18T00:30:00,2008-06-07T08:30:00,taxi
oipial,2008-05-18T00:30:00,2008-06-07T23:00:00,taxi
