scenario_subdir,user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
tol_5km_int_30min,abwecn,vq_ctw,30,linear,512.0,5.0,1007.0,0.977659105613338,0.2121399704835121,5.2064088762823415,5.2064088762823415
tol_5km_int_30min,abwecn,vq_ctw,30,nearest,512.0,5.0,219.0,0.8808318975425233,0.8578027343133225,4.503360472133228,4.503360472133228
tol_5km_int_30min,abwecn,vq_ctw,30,linear,1024.0,5.0,1007.0,0.980845726821774,0.1749738830623032,5.063405933089852,5.063405933089852
tol_5km_int_30min,abwecn,vq_ctw,30,nearest,1024.0,5.0,219.0,0.8742458556997696,0.9743400908774504,4.181648286082139,4.181648286082139
tol_5km_int_30min,abyalw,direct_ctw,30,linear,,5.0,1007.0,0.8728674546575167,1.046214352338788,1.6489442128218967,1.7947895727467806
tol_5km_int_30min,abyalw,direct_ctw,30,nearest,,5.0,349.0,0.8246950725690582,1.029243892276821,1.5731252997243304,1.738208122540083
tol_5km_int_30min,abyalw,markov_order_1,30,linear,,5.0,1007.0,0.8270271758076713,1.3402462683697876,1.6489442128218967,1.7947895727467806
tol_5km_int_30min,abyalw,markov_order_1,30,nearest,,5.0,349.0,0.6821312143836986,1.5589006026334418,1.5731252997243304,1.738208122540083
tol_5km_int_30min,abyalw,markov_order_2,30,linear,,5.0,1007.0,0.8209082125970729,1.3777781987966482,1.6489442128218967,1.7947895727467806
tol_5km_int_30min,abyalw,markov_order_2,30,nearest,,5.0,349.0,0.6815710310548058,1.5601659446572562,1.5731252997243304,1.738208122540083
tol_5km_int_30min,abyalw,vq_ctw,30,linear,256.0,5.0,1007.0,1.0,0.0,3.552209598314457,3.552209598314457
tol_5km_int_30min,abyalw,vq_ctw,30,nearest,256.0,5.0,349.0,0.8842946288494593,0.8268791485291461,4.433985582547293,4.433985582547293
tol_5km_int_30min,abyalw,vq_ctw,30,linear,512.0,5.0,1007.0,0.9999999999980904,0.0323546973545443,3.588912236975441,3.588912236975441
tol_5km_int_30min,abyalw,vq_ctw,30,nearest,512.0,5.0,349.0,0.8755963052287704,0.8784126064746648,4.307098333496943,4.307098333496943
tol_5km_int_30min,abyalw,vq_ctw,30,linear,1024.0,5.0,1007.0,0.9979691102334116,0.0231214797366159,3.5394135021100697,3.5394135021100697
tol_5km_int_30min,abyalw,vq_ctw,30,nearest,1024.0,5.0,349.0,0.8657722377717513,1.008470448491323,4.006164216122441,4.006164216122441
tol_5km_int_30min,acdiyi,direct_ctw,30,linear,,5.0,1007.0,0.8681697750864172,1.1746369100231029,1.7050569459847806,1.855913544460211
tol_5km_int_30min,acdiyi,markov_order_1,30,linear,,5.0,1007.0,0.7784054244397228,1.792121822323297,1.7050569459847806,1.855913544460211
tol_5km_int_30min,acdiyi,markov_order_2,30,linear,,5.0,1007.0,0.745856546388913,1.99798518482551,1.7050569459847806,1.855913544460211
tol_5km_int_30min,acdiyi,vq_ctw,30,linear,256.0,5.0,1007.0,0.9889435738722794,0.1052419578294609,8.256085506651607,8.256085506651607
tol_5km_int_30min,acdiyi,vq_ctw,30,linear,512.0,5.0,1007.0,0.9590920381005984,0.3414251311303526,4.376639671966345,4.376639671966345
tol_5km_int_30min,acdiyi,vq_ctw,30,linear,1024.0,5.0,1007.0,0.9535737580436058,0.3638698790973095,5.5068368250478645,5.5068368250478645
tol_5km_int_30min,acduou,direct_ctw,30,linear,,5.0,1007.0,0.8512811217508238,1.288495469519731,1.646522161335987,1.8261384280704895
tol_5km_int_30min,acduou,direct_ctw,30,nearest,,5.0,104.0,0.8283502852801795,0.983192082985748,1.6526184713892722,1.83843189565565
tol_5km_int_30min,acduou,markov_order_1,30,linear,,5.0,1007.0,0.7794165993103757,1.772597966150115,1.646522161335987,1.8261384280704895
tol_5km_int_30min,acduou,markov_order_1,30,nearest,,5.0,104.0,0.6600907872217334,1.558085640519716,1.6526184713892722,1.83843189565565
tol_5km_int_30min,acduou,markov_order_2,30,linear,,5.0,1007.0,0.756962457263794,1.914373241684443,1.646522161335987,1.8261384280704895
tol_5km_int_30min,acduou,markov_order_2,30,nearest,,5.0,104.0,0.6923768023011689,1.467887755388031,1.6526184713892722,1.83843189565565
tol_5km_int_30min,acduou,vq_ctw,30,linear,256.0,5.0,1007.0,0.9873525205757036,0.1179187985052574,3.943139601502205,3.943139601502205
tol_5km_int_30min,acduou,vq_ctw,30,nearest,256.0,5.0,104.0,0.9045687854279678,0.7407786785714865,4.760252279489839,4.760252279489839
tol_5km_int_30min,acduou,vq_ctw,30,linear,512.0,5.0,1007.0,0.9858027694853552,0.1441815965698639,4.291075520711641,4.291075520711641
tol_5km_int_30min,acduou,vq_ctw,30,nearest,512.0,5.0,104.0,0.8769582199135671,0.8705436777482836,4.564972175708235,4.564972175708235
tol_5km_int_30min,acduou,vq_ctw,30,linear,1024.0,5.0,1007.0,0.988257250602079,0.1251029302406768,4.070427202889311,4.070427202889311
tol_5km_int_30min,acduou,vq_ctw,30,nearest,1024.0,5.0,104.0,0.8743414685868138,0.929501110578567,4.412188082189727,4.412188082189727
tol_5km_int_30min,acgerl,direct_ctw,30,linear,,5.0,686.0,0.8638169581237889,1.118886748723621,1.5616029712721036,1.7368902865181777
tol_5km_int_30min,acgerl,direct_ctw,30,nearest,,5.0,40.0,0.8643162973450661,0.8441896277456872,1.6185570539825478,1.8563514493102504
tol_5km_int_30min,acgerl,markov_order_1,30,linear,,5.0,686.0,0.800854277388988,1.5167991368340947,1.5616029712721036,1.7368902865181777
tol_5km_int_30min,acgerl,markov_order_1,30,nearest,,5.0,40.0,0.7613343388651859,1.270145592636332,1.6185570539825478,1.8563514493102504
tol_5km_int_30min,acgerl,markov_order_2,30,linear,,5.0,686.0,0.7818692257855038,1.629262730846493,1.5616029712721036,1.7368902865181777
tol_5km_int_30min,acgerl,markov_order_2,30,nearest,,5.0,40.0,0.7773831255029928,1.2101508824088356,1.6185570539825478,1.8563514493102504
tol_5km_int_30min,acgerl,vq_ctw,30,linear,256.0,5.0,686.0,0.992527062043261,0.0710033705954121,3.80721492750879,3.80721492750879
tol_5km_int_30min,acgerl,vq_ctw,30,nearest,256.0,5.0,40.0,0.8627343323307308,0.8515641363570443,4.299135307210702,4.299135307210702
tol_5km_int_30min,acgerl,vq_ctw,30,linear,512.0,5.0,686.0,0.9915997227644028,0.0894956626556215,3.978999007855503,3.978999007855503
tol_5km_int_30min,acgerl,vq_ctw,30,nearest,512.0,5.0,40.0,0.9001623562936583,0.7002965548229276,4.579148350674089,4.579148350674089
tol_5km_int_30min,acgerl,vq_ctw,30,linear,1024.0,5.0,686.0,0.9912755701506464,0.0860409312352209,3.780126751611297,3.780126751611297
tol_5km_int_30min,acgerl,vq_ctw,30,nearest,1024.0,5.0,40.0,0.8397988768404072,1.115393857434277,4.645010863261665,4.645010863261665
tol_5km_int_30min,acitva,direct_ctw,30,linear,,5.0,1007.0,0.8209899208734843,1.5475342343283929,1.7767422637951469,1.9147193750615947
tol_5km_int_30min,acitva,markov_order_1,30,linear,,5.0,1007.0,0.6974210305484719,2.35434348583783,1.7767422637951469,1.9147193750615947
tol_5km_int_30min,acitva,markov_order_2,30,linear,,5.0,1007.0,0.6553270638684429,2.603634916962343,1.7767422637951469,1.9147193750615947
tol_5km_int_30min,acitva,vq_ctw,30,linear,256.0,5.0,1007.0,0.9999999999980904,0.2977719217235177,5.929393253388792,5.929393253388792
tol_5km_int_30min,acitva,vq_ctw,30,linear,512.0,5.0,1007.0,0.9609940250802412,0.3282849798747645,6.358316244333216,6.358316244333216
tol_5km_int_30min,acitva,vq_ctw,30,linear,1024.0,5.0,1007.0,0.9512752872242414,0.3581815722080254,5.835054404814944,5.835054404814944
tol_5km_int_30min,ackgri,direct_ctw,30,linear,,5.0,591.0,0.8359005491649999,1.464524413833422,1.6449590959409597,1.788778108646739
tol_5km_int_30min,ackgri,direct_ctw,30,nearest,,5.0,66.0,0.8329226260095929,1.0608682366524305,1.577713844323331,1.7571584349702685
tol_5km_int_30min,ackgri,markov_order_1,30,linear,,5.0,591.0,0.6879127704010777,2.456004280602223,1.6449590959409597,1.788778108646739
tol_5km_int_30min,ackgri,markov_order_1,30,nearest,,5.0,66.0,0.6044194646235795,1.9399868161019915,1.577713844323331,1.7571584349702685
tol_5km_int_30min,ackgri,markov_order_2,30,linear,,5.0,591.0,0.6339388170742545,2.777905597689153,1.6449590959409597,1.788778108646739
tol_5km_int_30min,ackgri,markov_order_2,30,nearest,,5.0,66.0,0.6206461037797768,1.88969858321928,1.577713844323331,1.7571584349702685
tol_5km_int_30min,ackgri,vq_ctw,30,linear,256.0,5.0,591.0,0.9530459709922104,0.3672222574233657,5.615447993983548,5.615447993983548
tol_5km_int_30min,ackgri,vq_ctw,30,nearest,256.0,5.0,66.0,0.8718076850629426,0.958763050172298,4.477986028038832,4.477986028038832
tol_5km_int_30min,ackgri,vq_ctw,30,linear,512.0,5.0,591.0,0.9551558585653758,0.3799981025572658,5.912922889231837,5.912922889231837
tol_5km_int_30min,ackgri,vq_ctw,30,nearest,512.0,5.0,66.0,0.8654405363333321,0.9817791246265372,4.66036251451272,4.66036251451272
tol_5km_int_30min,ackgri,vq_ctw,30,linear,1024.0,5.0,591.0,0.9571664811510298,0.3658592812913792,5.947394909886331,5.947394909886331
tol_5km_int_30min,ackgri,vq_ctw,30,nearest,1024.0,5.0,66.0,0.86401162807233,0.9870715988017276,4.52845630899769,4.52845630899769
tol_5km_int_30min,acpegh,direct_ctw,30,linear,,5.0,1007.0,0.829313202935078,1.441866034651879,1.60685684356359,1.778110591831699
tol_5km_int_30min,acpegh,direct_ctw,30,nearest,,5.0,149.0,0.8275252728772694,1.0647270310453216,1.4926962676779214,1.6938250944455266
tol_5km_int_30min,acpegh,markov_order_1,30,linear,,5.0,1007.0,0.7576395714126497,1.9101570809822823,1.60685684356359,1.778110591831699
tol_5km_int_30min,acpegh,markov_order_1,30,nearest,,5.0,149.0,0.6298413960605875,1.807142686804558,1.4926962676779214,1.6938250944455266
tol_5km_int_30min,acpegh,markov_order_2,30,linear,,5.0,1007.0,0.7245979994181708,2.11181765676584,1.60685684356359,1.778110591831699
tol_5km_int_30min,acpegh,markov_order_2,30,nearest,,5.0,149.0,0.6273250160505792,1.8180596641997688,1.4926962676779214,1.6938250944455266
tol_5km_int_30min,acpegh,vq_ctw,30,linear,256.0,5.0,1007.0,0.9892353325694097,0.1028824144556646,4.317239879355292,4.317239879355292
tol_5km_int_30min,acpegh,vq_ctw,30,nearest,256.0,5.0,149.0,0.8675756526157415,0.9911452020114926,4.356047712281291,4.356047712281291
tol_5km_int_30min,acpegh,vq_ctw,30,linear,512.0,5.0,1007.0,0.9872585581314784,0.1280479292580579,4.3981239044439615,4.3981239044439615
tol_5km_int_30min,acpegh,vq_ctw,30,nearest,512.0,5.0,149.0,0.8782064750464256,0.9141516089510802,4.355215284153854,4.355215284153854
tol_5km_int_30min,acpegh,vq_ctw,30,linear,1024.0,5.0,1007.0,0.9856857526746644,0.1368259429499041,4.189881345120377,4.189881345120377
tol_5km_int_30min,acpegh,vq_ctw,30,nearest,1024.0,5.0,149.0,0.8777565972097694,0.99358407962155,4.536445018799117,4.536445018799117
tol_5km_int_30min,acvebr,direct_ctw,30,linear,,5.0,994.0,0.8479093830094233,1.3299402174791242,1.6099402442810944,1.7746298796740885
tol_5km_int_30min,acvebr,direct_ctw,30,nearest,,5.0,238.0,0.8390164625971643,1.0446062829349196,1.673840760489109,1.846302699056208
tol_5km_int_30min,acvebr,markov_order_1,30,linear,,5.0,994.0,0.7665990100353282,1.880980325397879,1.6099402442810944,1.7746298796740885
tol_5km_int_30min,acvebr,markov_order_1,30,nearest,,5.0,238.0,0.6469682896462315,1.829950678836244,1.673840760489109,1.846302699056208
tol_5km_int_30min,acvebr,markov_order_2,30,linear,,5.0,994.0,0.7411213590525856,2.041892953540487,1.6099402442810944,1.7746298796740885
tol_5km_int_30min,acvebr,markov_order_2,30,nearest,,5.0,238.0,0.6350439048003631,1.876233124799208,1.673840760489109,1.846302699056208
tol_5km_int_30min,acvebr,vq_ctw,30,linear,256.0,5.0,994.0,0.9837660412294428,0.1359717776141273,4.268402264451902,4.268402264451902
