user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
abnovk,vq_ctw,30,nearest,512.0,5.0,144.0,0.8551144219633566,1.025462960028006,5.052381088646826,5.052381088646826
abnovk,vq_ctw,30,nearest,1024.0,5.0,144.0,0.8743794669038825,0.970586193955878,5.199598659982339,5.199598659982339
abtyff,direct_ctw,30,linear,,5.0,1007.0,0.839520293083527,1.3290376857961466,1.717016801818566,1.8632420949431834
abtyff,direct_ctw,30,nearest,,5.0,122.0,0.8373846806642018,1.054333198392399,1.3970170791600995,1.5595749255585
abtyff,markov_order_1,30,linear,,5.0,1007.0,0.7702500175213625,1.7705381163038345,1.717016801818566,1.8632420949431834
abtyff,markov_order_1,30,nearest,,5.0,122.0,0.6633552494908843,1.7787906987106055,1.3970170791600995,1.5595749255585
abtyff,markov_order_2,30,linear,,5.0,1007.0,0.7499189299991944,1.8922389944798679,1.717016801818566,1.8632420949431834
abtyff,markov_order_2,30,nearest,,5.0,122.0,0.6362280718789604,1.8757011507756665,1.3970170791600995,1.5595749255585
abtyff,vq_ctw,30,linear,256.0,5.0,1007.0,0.9999999999980905,0.011480240457195525,4.016763095403916,4.016763095403916
abtyff,vq_ctw,30,linear,512.0,5.0,1007.0,0.9976954451693978,0.02581637810673664,4.038466190022804,4.038466190022804
abtyff,vq_ctw,30,linear,1024.0,5.0,1007.0,0.9990591045779207,0.011757141360165244,4.025488950813944,4.025488950813944
abtyff,vq_ctw,30,nearest,256.0,5.0,122.0,0.8575711266989786,1.0326532645234048,4.54481112609969,4.54481112609969
abtyff,vq_ctw,30,nearest,512.0,5.0,122.0,0.8764953518514511,0.9226088629159226,4.450245629133034,4.450245629133034
abtyff,vq_ctw,30,nearest,1024.0,5.0,122.0,0.8696001764655271,1.0450500117132029,4.613011697758009,4.613011697758009
abwecn,direct_ctw,30,linear,,5.0,1007.0,0.8576096086464655,1.2675152512483532,1.4734354188591836,1.6436538289898932
