sample_interval_min,interpolation_method,codebook_size,raw_code,num_occurrences,dominant_mode,top_modes,mean_speed_kmh,mean_step_km,mean_radius_of_gyration_km
15,linear,256,51,3628,taxi,taxi:3628,13.924314498901367,3.481078624725342,5.964747026644836
15,linear,256,54,23677,taxi,taxi:23677,3.1638667583465576,0.7909666895866394,5.585708367863322
15,linear,256,56,328,taxi,taxi:328,13.596857070922852,3.399214267730713,7.535816447400466
15,linear,256,57,2139,taxi,taxi:2139,29.505359649658203,7.376339912414551,6.176474744106576
15,linear,256,58,2524,taxi,taxi:2524,14.610565185546875,3.6526412963867188,5.950876084163714
15,linear,256,59,99,taxi,taxi:99,17.612567901611328,4.403141975402832,7.31465921979962
15,linear,256,60,249,taxi,taxi:249,18.146135330200195,4.536533832550049,6.998774335087543
15,linear,256,65,7105,taxi,taxi:7105,5.769347190856934,1.4423367977142334,6.903930633022783
15,linear,256,66,31,taxi,taxi:31,26.816669464111328,6.704167366027832,6.572448145958685
15,linear,256,71,90033,taxi,taxi:90033,2.2099366188049316,0.5524841547012329,5.3802524726803655
15,linear,256,73,5,taxi,taxi:5,20.95956802368164,5.23989200592041,8.571261405944824
15,linear,256,74,32250,taxi,taxi:32250,8.669096946716309,2.167274236679077,5.892526925789293
15,linear,256,79,126184,taxi,taxi:126184,4.11499547958374,1.028748869895935,5.622291887994197
15,linear,256,80,595,taxi,taxi:595,21.33063507080078,5.332658767700195,7.4105494992071845
15,linear,256,86,1826,taxi,taxi:1826,18.6395320892334,4.65988302230835,6.1278992933093654
15,linear,256,87,4748,taxi,taxi:4748,5.545182704925537,1.3862956762313843,7.3772765475858035
15,linear,256,88,7471,taxi,taxi:7471,9.070311546325684,2.267577886581421,5.952261116271388
15,linear,256,91,64227,taxi,taxi:64227,7.518492698669434,1.8796231746673584,5.905201323153729
15,linear,256,92,2,taxi,taxi:2,31.58548355102539,7.896370887756348,6.370231866836548
15,linear,256,94,18878,taxi,taxi:18878,6.876868724822998,1.7192171812057495,7.036905835841543
15,linear,256,95,126,taxi,taxi:126,23.844263076782227,5.961065769195557,7.16369076380654
15,linear,256,99,13856,taxi,taxi:13856,9.22612190246582,2.306530475616455,6.732356247059812
15,linear,256,104,15,taxi,taxi:15,28.856128692626953,7.214032173156738,6.63256557782491
15,linear,256,105,647,taxi,taxi:647,15.559073448181152,3.889768362045288,7.1172327553102
15,linear,256,106,439,taxi,taxi:439,23.28475570678711,5.821188926696777,6.881760491325535
15,linear,256,107,1515,taxi,taxi:1515,29.096532821655273,7.274133205413818,6.112168387611313
15,linear,256,108,38,taxi,taxi:38,15.237196922302246,3.8092992305755615,6.8971384199042065
15,linear,256,112,1173,taxi,taxi:1173,12.594877243041992,3.148719310760498,6.554439624557105
15,linear,256,113,5290,taxi,taxi:5290,1.1808736324310303,0.29521840810775757,5.433829479632171
15,linear,256,114,4,taxi,taxi:4,47.20415496826172,11.80103874206543,5.065734148025513
15,linear,256,117,637,taxi,taxi:637,19.12041664123535,4.780104160308838,6.360724265010241
15,linear,256,118,79034,taxi,taxi:79034,5.976027488708496,1.494006872177124,5.838421901307928
15,linear,256,119,495,taxi,taxi:495,28.764957427978516,7.191239356994629,7.200092286292953
15,linear,256,121,62,taxi,taxi:62,35.78989791870117,8.947474479675293,6.322448053667622
15,linear,256,123,11780,taxi,taxi:11780,15.237150192260742,3.8092875480651855,6.168811365309312
15,linear,256,126,2547,taxi,taxi:2547,19.698062896728516,4.924515724182129,6.684083827299186
15,linear,256,130,13726,taxi,taxi:13726,11.188782691955566,2.7971956729888916,6.07289070469392
15,linear,256,135,48715,taxi,taxi:48715,4.353823184967041,1.0884557962417603,5.337351959957842
15,linear,256,137,48,taxi,taxi:48,24.3876953125,6.096923828125,6.507685149709384
15,linear,256,138,1259,taxi,taxi:1259,22.939571380615234,5.734892845153809,6.385316147512628
15,linear,256,139,593,taxi,taxi:593,16.58843994140625,4.1471099853515625,6.739174178639713
15,linear,256,144,180,taxi,taxi:180,23.130062103271484,5.782515525817871,6.915579138861762
15,linear,256,147,263,taxi,taxi:263,14.709990501403809,3.677497625350952,6.84957408451762
15,linear,256,150,88,taxi,taxi:88,32.18873596191406,8.047183990478516,6.403957743536342
15,linear,256,153,1077,taxi,taxi:1077,12.85983943939209,3.2149598598480225,8.111486360112494
15,linear,256,155,734,taxi,taxi:734,29.538450241088867,7.384612560272217,6.24475075146158
