user_id,sample_interval_min,interpolation_method,tolerance_km,predictability_direct_ctw,predictability_markov_order_1,predictability_markov_order_2,predictability_vq_ctw_K1024,predictability_vq_ctw_K256,predictability_vq_ctw_K512,entropy_rate_bits_direct_ctw,entropy_rate_bits_markov_order_1,entropy_rate_bits_markov_order_2,entropy_rate_bits_vq_ctw_K1024,entropy_rate_bits_vq_ctw_K256,entropy_rate_bits_vq_ctw_K512
enyons,5,nearest,5.0,0.9311837033166832,0.8916119566398543,0.8970356344107299,0.9999999999986157,1.0,0.9999999999997295,0.5157509623096114,0.7094915694483663,0.6825348673203298,0.3206108369281909,0.0,0.041949542181147915
eoccoi,5,nearest,5.0,0.9270286307171062,0.8719657535418264,0.8652880402745985,0.9812366439070038,1.0,1.0,0.5842928328368188,0.8380472331313887,0.8429088276898107,0.35845671964132314,0.0,0.0
eoffri,5,nearest,5.0,0.9429735340319638,0.8991746374008385,0.8975583920353488,0.9837269366146256,1.0,1.0,0.47184159968918515,0.6617699466861329,0.6716144071681422,0.3644892678697115,0.0,0.0
eoivqu,5,nearest,5.0,0.8780823482076526,0.813785922247289,0.7892805672012072,1.0,1.0,1.0,0.6567657425154658,0.8796981550697472,0.9535750935088687,0.0,0.0,0.0
eokrac,5,nearest,5.0,0.9475273666414196,0.9068850421740526,0.9055997475886596,0.9873359959934113,1.0,0.9999999999997878,0.5321381373091086,0.7009388010972154,0.699412536492484,0.243441055091666,0.0,0.030868832922626478
eolgug,5,nearest,5.0,0.9462829343100297,0.9204217489404996,0.9119374654589472,0.9999999999987977,1.0,1.0,0.5695952303646591,0.7235728875477283,0.7106813661089263,0.29691111153957706,0.0,0.0
eoslui,5,nearest,5.0,0.9141318568364295,0.8648797740161672,0.8517804590910876,0.9815117221949743,1.0,1.0,0.5590268189296075,0.7812495682075263,0.7969809556836435,0.40086649894324516,0.0,0.0
eovsyt,5,nearest,5.0,0.9522488131765888,0.8676484356981212,0.8496973971485029,0.9999999999990453,1.0,0.9999999999990453,0.32278942971270647,0.6815835528198076,0.7416199259095134,0.19977174975644088,0.0,0.14869496907211865
eoydba,5,nearest,5.0,0.9999999999991361,0.9999999999991361,0.9999999999991361,0.9999999999980905,1.0,1.0,0.15039023583258004,0.1939910058709827,0.19317394508806413,0.29358474232668785,0.0,0.0
epabca,5,nearest,5.0,0.9119459073330194,0.8355082681375737,0.8476161539172478,0.9834312529223573,1.0,0.9999999999998396,0.5855667947659842,0.8849675194467105,0.8257840669517208,0.33822317814907427,0.0,0.016980311867459498
epemva,5,nearest,5.0,0.9813178724344732,0.9627236433973853,0.9612973731752819,0.9999999999988975,1.0,1.0,0.3569016288088125,0.47553798122595337,0.48959005556818613,0.22195293737842006,0.0,0.0
epkiap,5,nearest,5.0,0.9802022225479449,0.9651527551539565,0.9612044319205812,0.9853295568047367,1.0,1.0,0.32621392130400173,0.3913080337089527,0.4094643587713872,0.2929642804243294,0.0,0.0
equioc,5,nearest,5.0,0.9999999999994822,0.9999999999994822,0.9999999999994822,1.0,1.0,1.0,0.1476937976375855,0.14552824117474902,0.1346687099898363,0.0,0.0,0.0
equoaw,5,nearest,5.0,0.9425533062011092,0.9135796526844352,0.9069877541323063,0.9810826515066287,1.0,1.0,0.461402406071152,0.6002374119622786,0.6270014452900663,0.3313541012913584,0.0,0.0
erjboy,5,nearest,5.0,0.9664022820791967,0.9478301713748767,0.9478301713748767,0.9852900184991558,1.0,1.0,0.3924095013330044,0.5263329244206435,0.5313355660735674,0.30554055514242523,0.0,0.0
erjcre,5,nearest,5.0,0.9646373070655928,0.9399070921419205,0.9401579696188069,0.988486349322458,1.0,0.9999999999996515,0.39637625206607413,0.5455955797912707,0.5135596839549237,0.307534195469093,0.0,0.047171895962021114
erjtai,5,nearest,5.0,0.9757737030693365,0.9719913222138644,0.9717013822485864,0.9999999999988496,1.0,1.0,0.3499900401662632,0.3791585036148762,0.36027729217575116,0.16669643423217248,0.0,0.0
erulgh,5,nearest,5.0,0.9689656488202182,0.9402712735701825,0.9309737572271667,0.9999999999980905,1.0,1.0,0.5211227790702102,0.6897788666481983,0.7473397784131401,0.43945545411952763,0.0,0.0
erwumu,5,nearest,5.0,0.9190654312054543,0.8896342708082196,0.8841895699169141,0.999999999998843,1.0,1.0,0.5808063358733084,0.7774372978676946,0.7485641500361184,0.22959699669521602,0.0,0.0
eryeig,5,nearest,5.0,0.9193719804415579,0.8926703154512777,0.8877272725626121,0.9999999999985956,1.0,1.0,0.5293830916873546,0.6856159125179022,0.6451317815197527,0.3091577718726959,0.0,0.0
eshria,5,nearest,5.0,0.9670064202262086,0.9550546697017014,0.9550546697017014,0.9835204679191247,1.0,1.0,0.352512853237795,0.43864993622576137,0.43285594233941316,0.44315417623425263,0.0,0.0
eshroa,5,nearest,5.0,0.9108500936627902,0.8531289255633977,0.8418698331169389,0.9999999999980906,1.0,1.0,0.5169628312474512,0.7462996837042497,0.7852989634306067,0.37056247634671263,0.0,0.0
esnddc,5,nearest,5.0,0.9458530957274003,0.9102614943464717,0.9109652519121424,0.9754359783210838,1.0,1.0,0.5584518302963758,0.7104705011723651,0.6957072121282202,0.43299426010442865,0.0,0.0
esudce,5,nearest,5.0,0.9221020426523141,0.8746960654700244,0.8736723228466838,0.9999999999983589,1.0,0.9999999999997475,0.5898259193648807,0.7835752341890813,0.7986306782938163,0.3491321767928413,0.0,0.03418686327800547
etirnf,5,nearest,5.0,0.9999999999980905,0.9999999999980905,0.9999999999980905,0.9999999999980905,1.0,1.0,0.5695903865540903,0.6902665767146988,0.733390237804772,0.2908799917563336,0.0,0.0
etnads,5,nearest,5.0,0.9280451781643728,0.8862506733208707,0.8857438303562768,0.9808307665837871,1.0,1.0,0.5681038958695621,0.7470215927441937,0.7499063452729541,0.38975589293573776,0.0,0.0
