run_subdir,scenario_subdir,sample_interval_min,interpolation_method,tolerance_km,method,codebook_size,num_points,predictability,entropy_rate_bits,reconstruction_rmse_km,actual_distortion_km,num_users,scenario_label,experiment_label
sf_run_1980198_task_10,tol_10km_int_15min,15,linear,10.0,vq_ctw,512.0,1007860.0,1.0,0.0,6.791299497047136,6.791299497047136,531,"15 min
10 km","15 min
10 km
linear"
sf_run_1980198_task_10,tol_10km_int_15min,15,linear,10.0,vq_ctw,1024.0,1007860.0,1.0,0.0,6.292741929042936,6.292741929042936,531,"15 min
10 km","15 min
10 km
linear"
sf_run_1980198_task_10,tol_10km_int_15min,15,nearest,10.0,direct_ctw,,88930.0,0.8294428644077887,0.9528356896008107,4.494710948525671,4.351566293469503,465,"15 min
10 km","15 min
10 km
nearest"
sf_run_1980198_task_10,tol_10km_int_15min,15,nearest,10.0,markov_order_1,,88930.0,0.708305237174664,1.382713114598146,4.494710948525671,4.351566293469503,465,"15 min
10 km","15 min
10 km
nearest"
sf_run_1980198_task_10,tol_10km_int_15min,15,nearest,10.0,markov_order_2,,88930.0,0.7159193431880223,1.3595396468299943,4.494710948525671,4.351566293469503,465,"15 min
10 km","15 min
10 km
nearest"
sf_run_1980198_task_10,tol_10km_int_15min,15,nearest,10.0,vq_ctw,256.0,88930.0,1.0,0.0,9.201402009821708,9.201402009821708,465,"15 min
10 km","15 min
10 km
nearest"
sf_run_1980198_task_10,tol_10km_int_15min,15,nearest,10.0,vq_ctw,512.0,88930.0,1.0,0.0,7.986098142800639,7.986098142800639,465,"15 min
10 km","15 min
10 km
nearest"
sf_run_1980198_task_10,tol_10km_int_15min,15,nearest,10.0,vq_ctw,1024.0,88930.0,1.0,0.0,8.629234792173616,8.629234792173616,465,"15 min
10 km","15 min
10 km
nearest"
sf_run_1980198_task_2,tol_2p5km_int_30min,30,linear,2.5,direct_ctw,,503760.0,0.8074832037913038,1.801009714047115,1.0329664330415935,0.968793493050357,531,"30 min
2.5 km","30 min
2.5 km
linear"
sf_run_1980198_task_2,tol_2p5km_int_30min,30,linear,2.5,markov_order_1,,503760.0,0.5770694746387504,3.3906006020263333,1.0329664330415935,0.968793493050357,531,"30 min
2.5 km","30 min
2.5 km
linear"
sf_run_1980198_task_2,tol_2p5km_int_30min,30,linear,2.5,markov_order_2,,503760.0,0.5087039747167373,3.794931259335182,1.0329664330415935,0.968793493050357,531,"30 min
2.5 km","30 min
2.5 km
linear"
sf_run_1980198_task_2,tol_2p5km_int_30min,30,linear,2.5,vq_ctw,256.0,503760.0,0.8035259710087289,1.820139946278624,2.17381281687432,2.17381281687432,531,"30 min
2.5 km","30 min
2.5 km
linear"
sf_run_1980198_task_2,tol_2p5km_int_30min,30,linear,2.5,vq_ctw,512.0,503760.0,0.8068798765123902,1.8148475889404132,2.2673214064775857,2.2673214064775857,531,"30 min
2.5 km","30 min
2.5 km
linear"
sf_run_1980198_task_2,tol_2p5km_int_30min,30,linear,2.5,vq_ctw,1024.0,503760.0,0.8285119752575998,1.4274064872952807,2.2667817658753413,2.2667817658753413,531,"30 min
2.5 km","30 min
2.5 km
linear"
