user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
idjokv,markov_order_1,5,nearest,,5.0,110.0,0.8540552602497747,0.8814254910477508,1.6487828773346798,1.8319262340067042
idjokv,markov_order_2,5,nearest,,5.0,110.0,0.8542062390203048,0.8836595036019436,1.6487828773346798,1.8319262340067042
idjokv,vq_ctw,5,nearest,256.0,5.0,110.0,1.0,0.0,5.042413354821032,5.042413354821032
idjokv,vq_ctw,5,nearest,512.0,5.0,110.0,1.0,0.0,4.803260033534019,4.803260033534019
idjokv,vq_ctw,5,nearest,1024.0,5.0,110.0,0.9999999999980905,0.33084807197939614,4.822490743526176,4.822490743526176
idlorr,direct_ctw,5,nearest,,5.0,35.0,0.9031285569063707,0.6091403368065642,1.9984002468172877,2.1198300726202124
idlorr,markov_order_1,5,nearest,,5.0,35.0,0.8122065720824001,0.9849581684540158,1.9984002468172877,2.1198300726202124
idlorr,markov_order_2,5,nearest,,5.0,35.0,0.7957276920532613,1.0434891783190305,1.9984002468172877,2.1198300726202124
idlorr,vq_ctw,5,nearest,256.0,5.0,35.0,1.0,0.0,5.08304725926549,5.08304725926549
idlorr,vq_ctw,5,nearest,512.0,5.0,35.0,1.0,0.0,5.61809179762276,5.61809179762276
idlorr,vq_ctw,5,nearest,1024.0,5.0,35.0,0.9999999999980904,0.4423572568731914,5.107196557758558,5.107196557758558
idodly,direct_ctw,5,nearest,,5.0,51.0,0.9467689796374703,0.5282591263011767,1.9377976998031834,2.161077516812834
idodly,markov_order_1,5,nearest,,5.0,51.0,0.9243026016032676,0.6340046686702072,1.9377976998031834,2.161077516812834
idodly,markov_order_2,5,nearest,,5.0,51.0,0.9243026016032676,0.6496009163293281,1.9377976998031834,2.161077516812834
idodly,vq_ctw,5,nearest,256.0,5.0,51.0,1.0,0.0,4.3610812822193585,4.3610812822193585
idodly,vq_ctw,5,nearest,512.0,5.0,51.0,1.0,0.0,4.674787699195939,4.674787699195939
idodly,vq_ctw,5,nearest,1024.0,5.0,51.0,0.9466889802318684,0.429424214711576,4.98271657703709,4.98271657703709
idshyw,direct_ctw,5,nearest,,5.0,185.0,0.9289683186897584,0.5977407457490006,1.753418305242658,1.9328093368352397
idshyw,markov_order_1,5,nearest,,5.0,185.0,0.8584155605070727,0.8941065377734121,1.753418305242658,1.9328093368352397
idshyw,markov_order_2,5,nearest,,5.0,185.0,0.8583430956246765,0.8969188719583836,1.753418305242658,1.9328093368352397
idshyw,vq_ctw,5,nearest,256.0,5.0,185.0,1.0,0.0,4.868549926705239,4.868549926705239
idshyw,vq_ctw,5,nearest,512.0,5.0,185.0,1.0,0.0,4.8352704905708865,4.8352704905708865
idshyw,vq_ctw,5,nearest,1024.0,5.0,185.0,0.9999999999984724,0.325403015738935,4.788789425500285,4.788789425500285
idsmuk,direct_ctw,5,nearest,,5.0,51.0,0.8784664840776116,0.6988299139711005,1.7533492036517144,1.9827730619784258
idsmuk,markov_order_1,5,nearest,,5.0,51.0,0.8486052032084446,0.9537396545274822,1.7533492036517144,1.9827730619784258
idsmuk,markov_order_2,5,nearest,,5.0,51.0,0.8649100226068164,0.8409308946398424,1.7533492036517144,1.9827730619784258
idsmuk,vq_ctw,5,nearest,256.0,5.0,51.0,1.0,0.0,4.534013808921035,4.534013808921035
idsmuk,vq_ctw,5,nearest,512.0,5.0,51.0,1.0,0.0,5.110652146930482,5.110652146930482
idsmuk,vq_ctw,5,nearest,1024.0,5.0,51.0,0.9999999999980904,0.44694294381209815,5.4458524854954025,5.4458524854954025
idtwal,direct_ctw,5,nearest,,5.0,17.0,0.9999999999980905,0.5253195486153818,1.313596854020341,1.578748848871574
idtwal,markov_order_1,5,nearest,,5.0,17.0,0.9999999999980905,0.7452511173047479,1.313596854020341,1.578748848871574
idtwal,markov_order_2,5,nearest,,5.0,17.0,0.9999999999980905,0.6303456374644283,1.313596854020341,1.578748848871574
idtwal,vq_ctw,5,nearest,256.0,5.0,17.0,1.0,0.0,3.831676276172658,3.831676276172658
idtwal,vq_ctw,5,nearest,512.0,5.0,17.0,1.0,0.0,3.4513386770805066,3.4513386770805066
idtwal,vq_ctw,5,nearest,1024.0,5.0,17.0,0.9999999999980905,0.3677075220274193,4.048253167158174,4.048253167158174
idvoww,direct_ctw,5,nearest,,5.0,107.0,0.8838614648564297,0.6542997356252015,1.7848624936509287,1.962636760756157
idvoww,markov_order_1,5,nearest,,5.0,107.0,0.835235033176386,0.849433000123501,1.7848624936509287,1.962636760756157
idvoww,markov_order_2,5,nearest,,5.0,107.0,0.8196642614493762,0.8582606190077109,1.7848624936509287,1.962636760756157
idvoww,vq_ctw,5,nearest,256.0,5.0,107.0,1.0,0.0,4.039467801939698,4.039467801939698
idvoww,vq_ctw,5,nearest,512.0,5.0,107.0,0.9999999999992504,0.10774203489397031,4.223750450892837,4.223750450892837
idvoww,vq_ctw,5,nearest,1024.0,5.0,107.0,0.975168003677614,0.3499401221846916,4.242656830525528,4.242656830525528
ifanfa,direct_ctw,5,nearest,,5.0,75.0,0.913002245470172,0.5708375113138713,1.636306682184629,1.8231646923655322
ifanfa,markov_order_1,5,nearest,,5.0,75.0,0.8372870427640783,0.8585422610747382,1.636306682184629,1.8231646923655322
ifanfa,markov_order_2,5,nearest,,5.0,75.0,0.8308205379661309,0.9063631256888599,1.636306682184629,1.8231646923655322
ifanfa,vq_ctw,5,nearest,256.0,5.0,75.0,1.0,0.0,5.0154157683875,5.0154157683875
ifanfa,vq_ctw,5,nearest,512.0,5.0,75.0,1.0,0.0,5.315688851518564,5.315688851518564
ifanfa,vq_ctw,5,nearest,1024.0,5.0,75.0,0.9999999999991852,0.23165847650733118,4.827814333187697,4.827814333187697
ifefro,direct_ctw,5,nearest,,5.0,34.0,0.9490217268077051,0.4977251668292356,1.432738190753604,1.576976488820895
ifefro,markov_order_1,5,nearest,,5.0,34.0,0.9240387076608786,0.6425886316814051,1.432738190753604,1.576976488820895
ifefro,markov_order_2,5,nearest,,5.0,34.0,0.9064168133486583,0.722868976974583,1.432738190753604,1.576976488820895
ifefro,vq_ctw,5,nearest,256.0,5.0,34.0,1.0,0.0,4.639515721517381,4.639515721517381
ifefro,vq_ctw,5,nearest,512.0,5.0,34.0,1.0,0.0,5.329823700721465,5.329823700721465
ifefro,vq_ctw,5,nearest,1024.0,5.0,34.0,0.9999999999980905,0.44096298592444727,4.922214323303925,4.922214323303925
ifelas,direct_ctw,5,nearest,,5.0,79.0,0.9760013881307265,0.3429062312684409,1.4015654832690436,1.5325337192635913
ifelas,markov_order_1,5,nearest,,5.0,79.0,0.9630954972903105,0.4056513192987681,1.4015654832690436,1.5325337192635913
ifelas,markov_order_2,5,nearest,,5.0,79.0,0.9602545983710786,0.4235202895322112,1.4015654832690436,1.5325337192635913
ifelas,vq_ctw,5,nearest,256.0,5.0,79.0,1.0,0.0,4.283843515411066,4.283843515411066
ifelas,vq_ctw,5,nearest,512.0,5.0,79.0,1.0,0.0,4.332457348238818,4.332457348238818
ifelas,vq_ctw,5,nearest,1024.0,5.0,79.0,0.9999999999980905,0.3696194728182132,3.9864016576860886,3.9864016576860886
ifkald,direct_ctw,5,nearest,,5.0,33.0,0.8599308102179853,0.7648903288271318,1.7375475201349742,1.8690688278181966
ifkald,markov_order_1,5,nearest,,5.0,33.0,0.7432474414813125,1.2357156534924236,1.7375475201349742,1.8690688278181966
ifkald,markov_order_2,5,nearest,,5.0,33.0,0.738164575999324,1.1759376981427518,1.7375475201349742,1.8690688278181966
ifkald,vq_ctw,5,nearest,256.0,5.0,33.0,1.0,0.0,5.226240579315189,5.226240579315189
ifkald,vq_ctw,5,nearest,512.0,5.0,33.0,1.0,0.0,5.400547703715901,5.400547703715901
ifkald,vq_ctw,5,nearest,1024.0,5.0,33.0,0.9525428728299923,0.507138637498182,5.7768855511720165,5.7768855511720165
ifragc,direct_ctw,5,nearest,,5.0,110.0,0.9760687290150363,0.3530194910134345,1.6070551687409782,1.7703164916436251
